Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
['f(2, 269) = 2.6,p = .075', 'f(2, 50) = .15, p > .47', 'f(2, 50) = .83,p > .44', 'f(2, 49) = 5.6, p < .01', 'f(2, 61) = .38,p > .65', 'f(1, 241) = 4.49,p = .035', 'f(1, 309) = 4.49,p = .089', 'f(2, 224) = 5.09,p < .01', 'f(1, 27) = 15.04, p < .001', 'f(1, 53) = 4.41, p = .04'];['2', '2', '2', '2', '2', '1', '1', '2', '1', '1'];['269', '50', '50', '49', '61', '241', '309', '224', '27', '53'];['2.6', '.15', '.83', '5.6', '.38', '4.49', '4.49', '5.09', '15.04', '4.41'];['.075', '.47', '.44', '.01', '.65', '.035', '.089', '.01', '.001', '.04'];['t(269) = 2.0,p < .05', 't(269) = -.061,p > .9', 't(47) = 3.03,p < .01', 't(47) = 3.04, p < .01', 't(224) = 2.03, p < .05', 't(224) = 3.14, p < .01', 't(224) = 5.14,p = .26'];['269', '269', '47', '47', '224', '224', '224'];['2.0', '.061', '3.03', '3.04', '2.03', '3.14', '5.14'];['.05', '.9', '.01', '.01', '.05', '.01', '.26'];[' p =.27', ' p > .47', ' p < .01', ' p < .01', '(p > .5', ' p < .05', '(p > .5', ' p < .05', ' p < .01', ' p < .001', ' p = .034', ' p < .05', ' p < .01', ' p < .01', ' p < .001', ' p = .04'];['.27', '.47', '.01', '.01', '.5', '.05', '.5', '.05', '.01', '.001', '.034', '.05', '.01', '.01', '.001', '.04'];['d =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd='];[];[];['field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment'];[];['experiment 3', 'experiment 4', 'experiment 5', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 5', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 5', 'experiment 5', 'experiment 4', 'experiment 5', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 4'];JMR;15;1;JMR1501\43832340.pdf.txt
[];[];[];[];[];['t(56) = 2.18, p < .04', 't(56) = -235, p < .03', 't(56) = 2.73, p < .01', 't(56) = 1.93,p < .06', 't(56) = 2.18, p< .04', 't(86) = 3.16,p < .01', 't(86) = -5.22, p < .01'];['56', '56', '56', '56', '56', '86', '86'];['2.18', '235', '2.73', '1.93', '2.18', '3.16', '5.22'];['.04', '.03', '.01', '.06', '.04', '.01', '.01'];[' p =.39', ' p < .20', ' p < .01', ' p < .04', ' p < .01', ' p < .01', ' p < .20', ' p < .001', ' p < .01', ' p < .04', ' p < .03', ' p < .01', ' p < .07', ' p < .01', '(p > .25', ' p < .07', ' p < .05'];['.39', '.20', '.01', '.04', '.01', '.01', '.20', '.001', '.01', '.04', '.03', '.01', '.07', '.01', '.25', '.07', '.05'];['d =', 'd =', 'd =', 'd =', 'd =', 'd ='];[];['lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study', 'lab study'];['field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study', 'field study'];[];[];JMR;15;1;JMR1501\43832341.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.56', ' p = [1'];['.56'];['d =', 'd ='];[];[];[];[];[];JMR;15;1;JMR1501\43832342.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.77'];['.77'];['d =', 'g ='];[];[];[];[];[];JMR;15;1;JMR1501\43832343.pdf.txt
['f(1, 197) = 25.92,p < .001', 'f(1, 144) = 5.76,p = .018', 'f(1, 144) = 27.27,p < .001', 'f(1, 214) = 72.18, p < .001', 'f(1, 214) = 7.56, p = .006', 'f(2, 297) = 56.64,p < .001', 'f(2, 297) = 26.92, p < .001', 'f(2, 297) = 49.54,p < .001', 'f(1, 396) = 181.28, p< .001', 'f(1, 396) = 11.98, p < .001', 'f(1, 396) = 9.57,p = .002', 'f(1, 196) = 24.66, p < .001', 'f(1, 196) = 4.18,p = .042', 'f(1, 196)= 10.11, p = .001', 'f(1, 196) = 10.71, p = .001', 'f(1, 196) = 1.07, p = .30', 'f(1, 196) = 6.60, p = .011', 'f(1, 175) = 7.20,p = .008', 'f(1, 199) = 39.33,p < .001', 'f(1, 199) = 9.86,p = .002', 'f(1, 199) = 15.83, p < .001', 'f(1, 199) = 10.24,p = .002', 'f(1, 199) = 4.22,p = .041'];['1', '1', '1', '1', '1', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['197', '144', '144', '214', '214', '297', '297', '297', '396', '396', '396', '196', '196', '196', '196', '196', '196', '175', '199', '199', '199', '199', '199'];['25.92', '5.76', '27.27', '72.18', '7.56', '56.64', '26.92', '49.54', '181.28', '11.98', '9.57', '24.66', '4.18', '10.11', '10.71', '1.07', '6.60', '7.20', '39.33', '9.86', '15.83', '10.24', '4.22'];['.001', '.018', '.001', '.001', '.006', '.001', '.001', '.001', '.001', '.001', '.002', '.001', '.042', '.001', '.001', '.30', '.011', '.008', '.001', '.002', '.001', '.002', '.041'];['t(99) = 4.65, p < .001', 't(98) = -2.66,p = .009', 't(99) = .80,p = .43', 't(98) = -.45, p = .64', 't(71) = 4.57,p < .001', 't(73) = -2.77,p = .007', 't(71) = .26,p = .80', 't(73) = -1.53,p = .13', 't(107) = 3.14, p = .002', 't(107) = -.58, p = .56', 't(199) = 2.78,p = .006', 't(196) = 2.58,p = .011', 't(199) = 7.20,p < .001', 't(199) = 4.49,p < .001', 't(196) = 4.88,p < .001', 't(199) = 10.42,p < .001', 't(199) = 4.84,p < .001', 't(196) = -4.68,p < .001', 't(200) = -.24,p = .81', 't(100) = -4.83, p < .001', 't(96) = .00, p = .99', 't(100) = -3.38, p = .001', 't(96) = .72, p = .72', 't(86) = -2.21,p = .03', 't(89) = 1.53,p= .13', 't(98) = -4.94,p < .001', 't(101) = -.57,p = .57', 't(99) = -2.37,p = .02', 't(101) = .55,p= .59'];['99', '98', '99', '98', '71', '73', '71', '73', '107', '107', '199', '196', '199', '199', '196', '199', '199', '196', '200', '100', '96', '100', '96', '86', '89', '98', '101', '99', '101'];['4.65', '2.66', '.80', '.45', '4.57', '2.77', '.26', '1.53', '3.14', '.58', '2.78', '2.58', '7.20', '4.49', '4.88', '10.42', '4.84', '4.68', '.24', '4.83', '.00', '3.38', '.72', '2.21', '1.53', '4.94', '.57', '2.37', '.55'];['.001', '.009', '.43', '.64', '.001', '.007', '.80', '.13', '.002', '.56', '.006', '.011', '.001', '.001', '.001', '.001', '.001', '.001', '.81', '.001', '.99', '.001', '.72', '.03', '.13', '.001', '.57', '.02', '.59'];[' p =.90', ' p > .45', ' p < .001', ' p > .20', ' p = .64', ' p > .20', ' p > .21', ' p = .053', '(p = .19', ' p < .001', ' p = .006', ' p = .002', ' p = .56', ' p < .001', ' p = .153', ' p = .314', ' p < .001', ' p = .029', ' p < .001', ' p < .001', ' p < .04', ' p = .001', ' p = .001', ' p < .001', ' p = .99', ' p = .30', ' p = .011', ' p = .001', ' p = .72', ' p < .03', ' p < .001', ' p = .074', ' p = .049'];['.90', '.45', '.001', '.20', '.64', '.20', '.21', '.053', '.19', '.001', '.006', '.002', '.56', '.001', '.153', '.314', '.001', '.029', '.001', '.001', '.04', '.001', '.001', '.001', '.99', '.30', '.011', '.001', '.72', '.03', '.001', '.074', '.049'];['d =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'g =', 'd =', 'g =', 'd =', 'g =', 'd =', 'g =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd ='];[];[];['field experiment'];['study 2', 'study 3', 'study 4', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 5', 'study 5', 'study 4', 'study 4', 'study 3', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 6', 'study 6', 'study 5', 'study 6', 'study 5', 'study 6', 'study 5', 'study 6', 'study 2', 'study 1'];[];JMR;15;1;JMR1501\43832344.pdf.txt
['f(5, 164) = 8.67,p < .01', 'f(5, 164) = 7.83,p < .01', 'f(5, 164) = 2.52,p < .05', 'f(5, 164) = 6.43,p < .01', 'f(5, 164) = 9.54,p < .01', 'f(2, 65) = 5.50,p < .01', 'f(2, 67) = 23.76, p < .01', 'f(2, 67) = 15.07, p < .01', 'f(2, 103) = 6.49, p < .01', 'f(2, 103) = 8.70,p < .01'];['5', '5', '5', '5', '5', '2', '2', '2', '2', '2'];['164', '164', '164', '164', '164', '65', '67', '67', '103', '103'];['8.67', '7.83', '2.52', '6.43', '9.54', '5.50', '23.76', '15.07', '6.49', '8.70'];['.01', '.01', '.05', '.01', '.01', '.01', '.01', '.01', '.01', '.01'];['t(27) = 3.66,p < .01', 't(137) = 4.33, p < .01', 't(25) = 5.49,p < .01', 't(137) = 3.53, p < .01', 't(26) = 4.73, p < .01', 't(137) = 2.54,p < .05', 't(164) = 4.85,p < .01', 't(27) = 8.44,p < .01', 't(137) = 4.02, p < .01', 't(43) = 1.05,p > .05', 't(22) = 6.95,p < .01', 't(21) = -1.09,p > .05', 't(24) = -.63, p > .05', 't(46) = 4.71,p < .05', 't(24) = -.63, p > .05', 't(43) = -2.07,p < .05', 't(46) = -2.92,p < .01', 't(45) = -.87, p >.05', 't(43) = 4.13,p < .01', 't(46) = 7.33,p < .01', 't(45) = 2.39,p < .05', 't(68) = 6.05, p < .01', 't(35) = 8.55,p < .01', 't(68) = 2.02,p < .05', 't(68) = 2.32,p < .05', 't(68) = -.60,p > .05', 't(79) = 2.03, p < .05', 't(64) = 3.59,p < .05', 't(40) = -2.38,p < .05', 't(79) = 3.28,p < .01', 't(64) = 3.44,p < .01'];['27', '137', '25', '137', '26', '137', '164', '27', '137', '43', '22', '21', '24', '46', '24', '43', '46', '45', '43', '46', '45', '68', '35', '68', '68', '68', '79', '64', '40', '79', '64'];['3.66', '4.33', '5.49', '3.53', '4.73', '2.54', '4.85', '8.44', '4.02', '1.05', '6.95', '1.09', '.63', '4.71', '.63', '2.07', '2.92', '.87', '4.13', '7.33', '2.39', '6.05', '8.55', '2.02', '2.32', '.60', '2.03', '3.59', '2.38', '3.28', '3.44'];['.01', '.01', '.01', '.01', '.01', '.05', '.01', '.01', '.01', '.05', '.01', '.05', '.05', '.05', '.05', '.05', '.01', '.05', '.01', '.01', '.05', '.01', '.01', '.05', '.05', '.05', '.05', '.05', '.05', '.01', '.01'];[' p =.105', ' p < .01', ' p < .01', ' p < .01', ' p < .01', ' p > .05', ' p > .05', ' p > .05', ' p > .05', ' p > .05', ' p > .20', ' p > .50', ' p > .05', ' p > .05', ' p >.05', ' p = .01', ' p < .05', ' p < .01', ' p < .01', ' p < .01', ' p < .01', ' p < .05', ' p < .01', ' p < .05'];['.105', '.01', '.01', '.01', '.01', '.05', '.05', '.05', '.05', '.05', '.20', '.50', '.05', '.05', '.05', '.01', '.05', '.01', '.01', '.01', '.01', '.05', '.01', '.05'];['d=', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'g =', 'g =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd ='];[];[];[];['study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 2', 'study 3', 'study 1', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 4', 'study 4', 'study 1', 'study 2', 'study 3', 'study 4', 'study 4', 'study 1'];[];JMR;15;1;JMR1501\43832345.pdf.txt
['f(1, 44) = 4.58,p < .05', 'f(1, 60) = .21, p = .65', 'f(1, 60) = .12, p = .73', 'f(1, 60) = 7.71,p < .01', 'f(1, 60) = 4.69, p < .05', 'f(1, 60) = 3.08, p=.08', 'f(1, 59) = .40, p = .53', 'f(1, 59) = .55, p = .46', 'f(1, 59) = 2.13, p = .15', 'f(1, 60) = .19,p = .66', 'f(1, 103) = 91.26,p < .001', 'f(1, 103) = 1.04,p = .31', 'f(1, 103) = 14.08,p < .001', 'f(1, 103)= .77,p= .38', 'f(1, 103) = 6.38,p < .05', 'f(1, 103) = .06,p = .81', 'f(1, 103) = .66,p = .42', 'f(1, 103) = .04,p = .85', 'f(1, 103) = 2.07,p = .15', 'f(1, 103) = 8.05,p < .01', 'f(1, 103) = 3.73,p = .05', 'f(1, 103) = 2.49,p =.12', 'f(1, 103) = 9.20,p < .01', 'f(1, 103) = .84,p = .36', 'f(1, 102) = 4.55, p < .05', 'f(1, 102) = .04, p = .96', 'f(1, 101) = 2.80, p = .06', 'f(1, 68) = 3.73, p = .05', 'f(1, 69) = 5.02, p < .05', 'f(1, 103) = 5.69, p < .05', 'f(1, 103) = 12.97, p < .001', 'f(1, 103) = 5.57, p < .05', 'f(1, 57) = 4.14, p < .05', 'f(1, 57) = .09,p = .77', 'f(1, 57) = 8.81, p < .005', 'f(1, 57) = 4.14, p < .05', 'f(1, 21) = 5.41,p < .05'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['44', '60', '60', '60', '60', '60', '59', '59', '59', '60', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '102', '102', '101', '68', '69', '103', '103', '103', '57', '57', '57', '57', '21'];['4.58', '.21', '.12', '7.71', '4.69', '3.08', '.40', '.55', '2.13', '.19', '91.26', '1.04', '14.08', '.77', '6.38', '.06', '.66', '.04', '2.07', '8.05', '3.73', '2.49', '9.20', '.84', '4.55', '.04', '2.80', '3.73', '5.02', '5.69', '12.97', '5.57', '4.14', '.09', '8.81', '4.14', '5.41'];['.05', '.65', '.73', '.01', '.05', '.08', '.53', '.46', '.15', '.66', '.001', '.31', '.001', '.38', '.05', '.81', '.42', '.85', '.15', '.01', '.05', '.12', '.01', '.36', '.05', '.96', '.06', '.05', '.05', '.05', '.001', '.05', '.05', '.77', '.005', '.05', '.05'];['t(102) = 2.12, p < .05', 't(103) = 2.04, p < .05'];['102', '103'];['2.12', '2.04'];['.05', '.05'];[' p =.120', ' p = .65', ' p = .73', ' p < .05', ' p = .53', ' p = .46', ' p = .15', ' p < .05', ' p = .96', ' p < .05', ' p = .06', ' p = .05', ' p < .05', ' p < .05', ' p < .05', ' p < .001', ' p < .005', ' p < .05', ' p < .05', '(p = .56', ' p < .005', ' p < .05', '(p < .01', '(p < .05'];['.120', '.65', '.73', '.05', '.53', '.46', '.15', '.05', '.96', '.05', '.06', '.05', '.05', '.05', '.05', '.001', '.005', '.05', '.05', '.56', '.005', '.05', '.01', '.05'];['d=', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd ='];[];[];[];['study 5', 'study 4', 'study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 2', 'study 2', 'study 3', 'study 2', 'study 3', 'study 3', 'study 4', 'study 4', 'study 3', 'study 4', 'study 4', 'study 5', 'study 4', 'study 4', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 4', 'study 4', 'study 4', 'study 2', 'study 5', 'study 3'];[];JMR;15;1;JMR1501\43832346.pdf.txt
[];[];[];[];[];['t(88) = -2.27, p < .05', 't(88) = 2.50,p < .05', 't(84) = 4.45, p < .001'];['88', '88', '84'];['2.27', '2.50', '4.45'];['.05', '.05', '.001'];[' p =.134', '(p < .001', '(p < .001', ' p < .01', ' p < .05', ' p < .001', ' p < .001', ' p < .01', ' p < .01'];['.134', '.001', '.001', '.01', '.05', '.001', '.001', '.01', '.01'];['d='];[];[];[];[];[];JMR;15;1;JMR1501\43832347.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JMR;15;1;JMR1501\43832348.pdf.txt
[];[];[];[];[];[];[];[];[];[' p 0,0'];[];[];[];[];['field experiment'];[];[];JMR;15;2;JMR1502\43832349.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.147'];['.147'];['d=', 'g =', 'g =', 'g ='];[];[];[];['study 1', 'study 2', 'study 2'];[];JMR;15;2;JMR1502\43832350.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.166', '(p = .13'];['.166', '.13'];['d ='];[];[];[];[];[];JMR;15;2;JMR1502\43832351.pdf.txt
['f(2, 163) = 531, p = .006', 'f(1, 163) = 13.03, p < .001', 'f(2, 75) = 3.44,p = .037', 'f(2, 75) = 5.64,p = .005', 'f(2, 75) = .21,p = .814', 'f(2, 75) = 1.21,p = .303', 'f(2, 75) = .66,p = .520', 'f(2, 132) = .36,p = .698', 'f(2, 132) = .61,p = .543', 'f(2, 132) = 8.95,p < .001', 'f(2, 132) = 22.80,p < .001', 'f(2, 132) = 1.48,p = .232', 'f(2, 132) = 1.51, p = .225', 'f(2, 132) = 3.55, p = .031', 'f(2, 132) = 4.19,p = .017', 'f(2, 131) = 3.26,p = .042', 'f(2, 132) = 1.88,p = .157', 'f(2, 122) = 4.49, p = .013', 'f(2, 171) = 3.04, p = .051', 'f(3, 133) = 2.73,p = .047', 'f(3, 133) = 3.82,p = .012', 'f(4, 187) = 5.35,p < .001', 'f(4, 187) = 2.30, p = .060'];['2', '1', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '3', '4', '4'];['163', '163', '75', '75', '75', '75', '75', '132', '132', '132', '132', '132', '132', '132', '132', '131', '132', '122', '171', '133', '133', '187', '187'];['531', '13.03', '3.44', '5.64', '.21', '1.21', '.66', '.36', '.61', '8.95', '22.80', '1.48', '1.51', '3.55', '4.19', '3.26', '1.88', '4.49', '3.04', '2.73', '3.82', '5.35', '2.30'];['.006', '.001', '.037', '.005', '.814', '.303', '.520', '.698', '.543', '.001', '.001', '.232', '.225', '.031', '.017', '.042', '.157', '.013', '.051', '.047', '.012', '.001', '.060'];['t(163) = 2.24,p = .027', 't(75) = 2.50,p = .015', 't(75) = 1.97, p = .053', 't(132) = 2.53,p = .013', 't(132) = 4.21,p < .001', 't(132) = 2.03,p = .044', 't(132) = 2.52, p = .011', 't(132) = 2.76,p = .007', 't(132) = 2.15,p = .033', 't(71) = 2.21, p =.030', 't(84) = .15, p = .878', 't(190) = 2.06,p = .037', 't(190) = 2.34, p = .020', 't(189) = 2.09,p = .038', 't(189) = .98,p = .327', 't(190) = 1.46,p = .147', 't(190) = .80,p = .424', 't(190) = .02, p = .981', 't(133) = 2.31, p = .023', 't(133) = 2.59,p = .011', 't(133) = 1.75,p = .083', 't(187) = 3.26, p = .001', 't(187) = 3.23,p= .001', 't(32) = 3.91, p =.001', 't(72) = -1.20, p = .233', 't(71) = 2.21,p =.030'];['163', '75', '75', '132', '132', '132', '132', '132', '132', '71', '84', '190', '190', '189', '189', '190', '190', '190', '133', '133', '133', '187', '187', '32', '72', '71'];['2.24', '2.50', '1.97', '2.53', '4.21', '2.03', '2.52', '2.76', '2.15', '2.21', '.15', '2.06', '2.34', '2.09', '.98', '1.46', '.80', '.02', '2.31', '2.59', '1.75', '3.26', '3.23', '3.91', '1.20', '2.21'];['.027', '.015', '.053', '.013', '.001', '.044', '.011', '.007', '.033', '.030', '.878', '.037', '.020', '.038', '.327', '.147', '.424', '.981', '.023', '.011', '.083', '.001', '.001', '.001', '.233', '.030'];[' p =.184', ' p = .006', ' p = .002', '(p = .309', ' p < .001', ' p < .001', ' p = .055', ' p = .084', ' p = .107', ' p < .038', ' p = .053', '(p = .576', '(p = .879', ' p < .072', '(p = .962', ' p < .001', ' p < .001', ' p = .225', ' p = .011', ' p = .031', '(p = .480', '(p < .001', ' p = .233', ' p =.030', ' p = .878', ' p = .020', ' p = .013', '(p = .539', '(p = .527', ' p = .05', '(p = .134', ' p = .981', '(p = .466', ' p = .051', '(p = .987', '(p = .154', ' p = .023', '(p = .799', ' p = .574', ' p = .126', ' p = .300', '(p = .001', ' p = .001', '(p = .940', ' p < .050', ' p = .060', ' p =.001', ' p = .233'];['.184', '.006', '.002', '.309', '.001', '.001', '.055', '.084', '.107', '.038', '.053', '.576', '.879', '.072', '.962', '.001', '.001', '.225', '.011', '.031', '.480', '.001', '.233', '.030', '.878', '.020', '.013', '.539', '.527', '.05', '.134', '.981', '.466', '.051', '.987', '.154', '.023', '.799', '.574', '.126', '.300', '.001', '.001', '.940', '.050', '.060', '.001', '.233'];['d =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd ='];['mturk', 'mturk', 'mturk'];[];['field study'];[];['experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 3', 'experiment 3', 'experiment 2', 'experiment 3', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 3', 'experiment 5', 'experiment 5', 'experiment 1', 'experiment 5', 'experiment 6', 'experiment 6', 'experiment 7', 'experiment 7', 'experiment 7', 'experiment 8', 'experiment 8', 'experiment 7', 'experiment 8', 'experiment 7', 'experiment 7', 'experiment 8', 'experiment 4', 'experiment 3', 'experiment 3'];JMR;15;2;JMR1502\43832352.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.200', '(p < .05', ' p < .05', ' p < .05', ' p < .05', ' p < .05', ' p < .05', ' p > .10', ' p < .05', ' p < .05', '(p < .05', '(p < .05', ' p < .0'];['.200', '.05', '.05', '.05', '.05', '.05', '.05', '.10', '.05', '.05', '.05', '.05', '.0'];['d =', 'd ='];[];[];[];[];[];JMR;15;2;JMR1502\43832353.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.217', '(p < .01', ' p < .001'];['.217', '.01', '.001'];['d ='];[];[];['field experiment', 'field experiment'];[];[];JMR;15;2;JMR1502\43832354.pdf.txt
['f(1, 231) = 5.60, p < .05', 'f(2, 90) = 5.21,p < .01', 'f(1, 90) = 3.98,p < .05', 'f(1, 90) = .94,p > .33', 'f(2, 90) = 3.60,p < .05', 'f(1, 90) = 4.11, p < .05', 'f(1, 90) = .02,p > .90'];['1', '2', '1', '1', '2', '1', '1'];['231', '90', '90', '90', '90', '90', '90'];['5.60', '5.21', '3.98', '.94', '3.60', '4.11', '.02'];['.05', '.01', '.05', '.33', '.05', '.05', '.90'];[];[];[];[];[' p =.235', ' p < .001', ' p < .07', ' p > .20', ' p < .01', ' p > .93', ' p < .01', ' p > .21', ' p < .05', ' p < .05', ' p < .01', ' p < .01', ' p < .001', ' p < .001', ' p > .11', ' p < .05', ' p < .05'];['.235', '.001', '.07', '.20', '.01', '.93', '.01', '.21', '.05', '.05', '.01', '.01', '.001', '.001', '.11', '.05', '.05'];['d =', 'd =', 'd =', 'd =', 'd =', 'd =', 'd='];[];[];[];['study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 3', 'study 1', 'study 2', 'study 1', 'study 3', 'study 3', 'study 1', 'study 3', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4'];[];JMR;15;2;JMR1502\43832355.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.253', ' p =.62', '(p = .008', '(p < .001', '(p < .001', '(p < .001'];['.253', '.62', '.008', '.001', '.001', '.001'];[];[];[];[];[];[];JMR;15;2;JMR1502\43832356.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.268', '(p > .41', ' p < .0', ' p < .01'];['.268', '.41', '.0', '.01'];['d=', 'g ='];[];[];['field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment', 'field experiment'];[];[];JMR;15;2;JMR1502\43832357.pdf.txt
